Region,Workload,Filename,Total Connection Time,Time to First Byte,Download Time,Total Time
India,VIDEO,10mb,0:00:00.000769,0:00:00.000841,0:00:03.539409,0:00:03.540250
India,VIDEO,10mb,0:00:00.000915,0:00:00.000924,0:00:00.101107,0:00:00.102031
India,VIDEO,50mb,0:00:00.001018,0:00:00.001078,0:00:04.191448,0:00:04.192526
India,VIDEO,50mb,0:00:00.000904,0:00:00.000963,0:00:03.891362,0:00:03.892325
India,VIDEO,10mb,0:00:00.001102,0:00:00.001143,0:00:03.450984,0:00:03.452127
India,VIDEO,50mb,0:00:00.000834,0:00:00.000882,0:00:03.939408,0:00:03.940290
India,VIDEO,50mb,0:00:00.001207,0:00:00.001279,0:00:03.876300,0:00:03.877579
India,VIDEO,1mb,0:00:00.001266,0:00:00.001376,0:00:03.464809,0:00:03.466185
India,VIDEO,1mb,0:00:00.001341,0:00:00.001394,0:00:03.394997,0:00:03.396391
India,VIDEO,1mb,0:00:00.001081,0:00:00.001140,0:00:00.015147,0:00:00.016287
India,VIDEO,1mb,0:00:00.001574,0:00:00.001609,0:00:00.013756,0:00:00.015365
India,VIDEO,50mb,0:00:00.000817,0:00:00.000871,0:00:03.951692,0:00:03.952563
India,VIDEO,10mb,0:00:00.000955,0:00:00.001033,0:00:03.569643,0:00:03.570676
India,WEB,sample.png,0:00:00.001111,0:00:00.001138,0:00:03.625969,0:00:03.627107
India,WEB,sample.jpg,0:00:00.000721,0:00:00.000773,0:00:03.553116,0:00:03.553889
India,WEB,sample.pdf,0:00:00.001032,0:00:00.001082,0:00:00.002859,0:00:00.003941
India,WEB,sample.pdf,0:00:00.000823,0:00:00.000865,0:00:00.002606,0:00:00.003471
India,WEB,sample.json,0:00:00.001224,0:00:00.001252,0:00:00.004027,0:00:00.005279
India,WEB,sample.csv,0:00:00.001783,0:00:00.001788,0:00:00.003032,0:00:00.004820
India,WEB,sample.csv,0:00:00.000984,0:00:00.000990,0:00:00.003471,0:00:00.004461
India,WEB,sample.png,0:00:00.000723,0:00:00.000748,0:00:03.856344,0:00:03.857092
India,WEB,sample.csv,0:00:00.000780,0:00:00.000832,0:00:03.463658,0:00:03.464490
India,WEB,index.html,0:00:00.001256,0:00:00.001303,0:00:03.530813,0:00:03.532116
India,WEB,index.html,0:00:00.001578,0:00:00.001901,0:00:03.645315,0:00:03.647216
India,WEB,sample.png,0:00:00.000704,0:00:00.000773,0:00:03.387706,0:00:03.388479
India,WEB,sample.csv,0:00:00.000849,0:00:00.000920,0:00:00.002908,0:00:00.003828
India,WEB,sample.csv,0:00:00.001298,0:00:00.001355,0:00:00.006390,0:00:00.007745
India,WEB,sample.png,0:00:00.000934,0:00:00.000992,0:00:03.491434,0:00:03.492426
India,WEB,index.html,0:00:00.000841,0:00:00.000866,0:00:00.005785,0:00:00.006651
India,WEB,sample.json,0:00:00.001312,0:00:00.001340,0:00:00.025476,0:00:00.026816
India,WEB,index.html,0:00:00.000626,0:00:00.000654,0:00:03.852606,0:00:03.853260
India,WEB,sample.jpg,0:00:00.001297,0:00:00.001305,0:00:00.014875,0:00:00.016180
India,WEB,sample.jpg,0:00:00.001274,0:00:00.001303,0:00:03.525820,0:00:03.527123
India,WEB,sample.png,0:00:00.001272,0:00:00.001315,0:00:03.488193,0:00:03.489508
India,WEB,sample.csv,0:00:00.000764,0:00:00.000812,0:00:00.005154,0:00:00.005966
India,WEB,sample.pdf,0:00:00.000780,0:00:00.000805,0:00:00.004040,0:00:00.004845
India,WEB,sample.json,0:00:00.001617,0:00:00.001681,0:00:03.419766,0:00:03.421447
India,WEB,index.html,0:00:00.001975,0:00:00.002028,0:00:03.635299,0:00:03.637327
India,WEB,sample.csv,0:00:00.001629,0:00:00.001659,0:00:00.004124,0:00:00.005783
India,WEB,index.html,0:00:00.001175,0:00:00.001223,0:00:03.625172,0:00:03.626395
India,WEB,sample.jpg,0:00:00.000825,0:00:00.000885,0:00:03.564339,0:00:03.565224
India,WEB,sample.csv,0:00:00.001216,0:00:00.001268,0:00:03.653448,0:00:03.654716
India,WEB,sample.pdf,0:00:00.001492,0:00:00.001532,0:00:00.004125,0:00:00.005657
India,WEB,index.html,0:00:00.001510,0:00:00.001724,0:00:00.004476,0:00:00.006200
India,WEB,sample.pdf,0:00:00.000786,0:00:00.000849,0:00:03.366352,0:00:03.367201
India,WEB,sample.png,0:00:00.000763,0:00:00.000788,0:00:03.552633,0:00:03.553421
India,WEB,sample.jpg,0:00:00.001154,0:00:00.001166,0:00:03.414247,0:00:03.415413
India,WEB,index.html,0:00:00.002070,0:00:00.002079,0:00:00.007780,0:00:00.009859
India,WEB,sample.png,0:00:00.004934,0:00:00.005075,0:00:00.013797,0:00:00.018872
India,WEB,sample.pdf,0:00:00.000790,0:00:00.000847,0:00:00.003907,0:00:00.004754
India,WEB,sample.pdf,0:00:00.000814,0:00:00.000884,0:00:03.602094,0:00:03.602978
India,WEB,sample.csv,0:00:00.000862,0:00:00.000892,0:00:00.003101,0:00:00.003993
India,WEB,sample.json,0:00:00.000765,0:00:00.000817,0:00:03.631210,0:00:03.632027
India,WEB,sample.csv,0:00:00.001042,0:00:00.001092,0:00:00.003123,0:00:00.004215
India,WEB,index.html,0:00:00.000736,0:00:00.000784,0:00:03.633362,0:00:03.634146
India,WEB,sample.json,0:00:00.000778,0:00:00.000834,0:00:03.586008,0:00:03.586842
India,WEB,sample.jpg,0:00:00.000721,0:00:00.000747,0:00:03.588244,0:00:03.588991
